sss2019-07-10 09:46:37,922 [22] INFO  SessionModule SESSION -> NOT Using
2019-07-10 10:15:18,821 [60] INFO  WSFedModule FED2 -> Using
2019-07-10 10:15:18,823 [60] INFO  WSFedModule FED -> Using
2019-07-10 10:15:18,868 [59] INFO  SessionModule SESSION -> Using
2019-07-10 10:15:18,869 [59] INFO  WSFedModule FED2 -> Using
2019-07-10 10:15:18,870 [59] INFO  WSFedModule FED -> Using
2019-07-10 10:15:18,952 [22] INFO  SessionModule SESSION -> Using
2019-07-10 10:15:18,954 [22] INFO  WSFedModule FED2 -> Using
2019-07-10 10:15:18,955 [22] INFO  WSFedModule FED -> Using
2019-07-10 10:15:18,996 [32] INFO  SessionModule SESSION -> Using
2019-07-10 10:15:18,997 [32] INFO  WSFedModule FED2 -> Using
2019-07-10 10:15:18,999 [32] INFO  WSFedModule FED -> Using
2019-07-10 10:15:28,117 [47] INFO  SessionModule SESSION -> Using
2019-07-10 10:15:28,119 [47] INFO  WSFedModule FED2 -> Using
2019-07-10 10:15:28,123 [47] INFO  WSFedModule FED -> Using
2019-07-10 10:16:34,780 [31] INFO  MortysAwesomeClientApp.MvcApplication Application startup
2019-07-10 10:16:34,971 [31] INFO  MortysAwesomeClientApp.MvcApplication Configuring WSFederation
2019-07-10 10:16:35,023 [53] INFO  SessionModule SESSION -> Using
2019-07-10 10:16:35,025 [53] INFO  WSFedModule FED2 -> Using
2019-07-10 10:16:35,027 [53] INFO  WSFedModule FED -> Using
2019-07-10 10:16:35,180 [51] INFO  SessionModule SESSION -> Using
2019-07-10 10:16:35,183 [51] INFO  WSFedModule FED2 -> Using
2019-07-10 10:16:35,188 [51] INFO  WSFedModule FED -> Using
2019-07-10 10:16:35,244 [50] INFO  SessionModule SESSION -> Using
2019-07-10 10:16:35,245 [50] INFO  WSFedModule FED2 -> Using
2019-07-10 10:16:35,246 [50] INFO  WSFedModule FED -> Using
2019-07-10 10:16:35,301 [59] INFO  SessionModule SESSION -> Using
2019-07-10 10:16:35,302 [59] INFO  WSFedModule FED2 -> Using
2019-07-10 10:16:35,303 [59] INFO  WSFedModule FED -> Using
2019-07-10 10:16:35,371 [60] INFO  SessionModule SESSION -> Using
2019-07-10 10:16:35,372 [60] INFO  WSFedModule FED2 -> Using
2019-07-10 10:16:35,374 [60] INFO  WSFedModule FED -> Using
